Timestamp, DeviceId, GPU Utilization (%), GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Read (kB/s), GPU Memory Write (kB/s), GPU EU Array Active (%), GPU EU Array Stall (%), GPU EU Array Idle (%)
2026-05-22T15:32:12.041,    0, 0.00, 41.84, 1550, 32.00, 32.00, 7.37,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    1, 0.00, 41.90, 1550, 32.00, 32.00, 0.86,    2,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    2, 0.00, 41.80, 1550, 30.00, 30.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    3, 0.00, 41.95, 1550, 31.00, 32.00, 0.86,   54,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    4, 0.00, 41.90, 1550, 31.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    5, 0.00, 41.86, 1550, 30.00, 28.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    6, 0.00, 41.86, 1550, 34.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    7, 0.00, 41.92, 1550, 33.00, 32.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    8, 0.00, 42.00, 1550, 31.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,    9, 0.00, 42.00, 1550, 32.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.041,   10, 0.00, 42.04, 1550, 32.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.042,   11, 0.00, 41.98, 1550, 32.00, 30.00, 0.86,   54,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.042,   12, 0.00, 40.21, 1550, 32.00, 32.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:12.042,   13, 0.00, 40.39, 1550, 32.00, 32.00, 0.86,   58,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:12.042,   14, 0.00, 40.11, 1550, 30.00, 30.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:12.042,   15, 0.00, 40.32, 1550, 30.00, 30.00, 0.85,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    0, 0.00, 41.85, 1550, 32.00, 32.00, 7.37,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    1, 0.00, 41.94, 1550, 32.00, 32.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    2, 0.00, 41.60, 1550, 30.00, 30.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    3, 0.00, 41.94, 1550, 31.00, 32.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    4, 0.00, 41.95, 1550, 31.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    5, 0.00, 41.86, 1550, 31.00, 28.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    6, 0.00, 41.74, 1550, 34.00, 30.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    7, 0.00, 41.85, 1550, 33.00, 32.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    8, 0.00, 42.06, 1550, 31.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,    9, 0.00, 41.84, 1550, 32.00, 30.00, 0.86,   54,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.041,   10, 0.00, 41.73, 1550, 32.00, 30.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:13.042,   11, 0.00, 41.94, 1550, 32.00, 30.00, 0.86,   56,  770, 0.00, 0.00, 100.00
2026-05-22T15:32:13.042,   12, 0.00, 40.37, 1550, 32.00, 32.00, 0.86,   58,  774, 0.00, 0.00, 100.00
2026-05-22T15:32:13.042,   13, 0.00, 40.26, 1550, 32.00, 32.00, 0.86,   56,  772, 0.00, 0.00, 100.00
2026-05-22T15:32:13.042,   14, 0.00, 40.26, 1550, 30.00, 30.00, 0.86,   56,  772, 0.00, 0.00, 100.00
