Timestamp, DeviceId, GPU Utilization (%), GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Read (kB/s), GPU Memory Write (kB/s), GPU EU Array Active (%), GPU EU Array Stall (%), GPU EU Array Idle (%)
2026-05-22T15:37:47.275,    0, 0.00, 43.85, 1550, 51.00, 56.00, 7.37,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.275,    1, 0.00, 41.94, 1550, 51.00, 56.00, 7.37,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.275,    2, 0.00, 41.88, 1550, 31.00, 30.00, 7.37,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.275,    3, 0.00, 42.19, 1550, 31.00, 30.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    4, 0.00, 41.88, 1550, 31.00, 30.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    5, 0.00, 42.00, 1550, 31.00, 30.00, 0.86,    0,    0, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    6, 0.00, 41.98, 1550, 36.00, 34.00, 0.86,   56,  776, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    7, 0.00, 42.10, 1550, 36.00, 34.00, 0.86,   20,  336, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    8, 0.00, 41.96, 1550, 31.00, 30.00, 0.86,   56,  778, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,    9, 0.00, 41.67, 1550, 32.00, 30.00, 0.86,   56,  779, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,   10, 0.00, 41.86, 1550, 32.00, 30.00, 0.86,   56,  777, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,   11, 0.00, 41.74, 1550, 32.00, 32.00, 0.86,   56,  781, 0.00, 0.00, 100.00
2026-05-22T15:37:47.276,   12, 0.00, 40.23, 1550, 33.00, 32.00, 0.86,   56,  781, 0.00, 0.00, 100.00
